signal_strength,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
200,0,0,578207,235295,22803,45738,41091,58083,39038,64085
200,0,0,863564,183749,49607,18268,19082,21273,2742,134165
200,0,0,1359902,497877,548954,115494,55122,328391,62052,481427
200,0,0,1715809,1884235,171473,59991,230387,336908,25820,613128
200,0,0,985087,317494,144963,43931,19988,29040,17804,132710
200,0,0,184835,89686,38048,134291,14581,48868,6358,153450
200,0,0,373154,605471,84481,100217,29221,54410,13326,129700
200,0,0,953055,146722,63475,24003,47900,78073,64809,107036
200,0,0,112775,82709,159992,80912,18808,29793,12843,143703
200,0,0,1379393,782392,500860,100628,141978,202617,34965,637114
200,0,0,232251,37697,72140,28627,17144,42421,30310,48824
200,0,0,290380,661213,527645,460214,200778,126891,120357,276698
200,0,0,410392,103685,177438,42160,51845,22274,36732,34950
200,0,0,58767,46629,12388,10124,10055,13163,991,40961
200,0,0,16641,14886,83512,5575,10511,22751,2828,41772
200,0,0,240508,64985,29711,1410,8023,8095,3290,43027
200,0,0,746712,245706,64179,25396,54652,69172,4376,179652
200,0,0,267440,314110,57007,22252,25055,27984,8443,163546
200,0,0,122107,63316,7524,14425,3809,7260,2484,46374
200,0,0,52135,117235,79686,45933,25837,57832,8604,182428
200,0,0,138299,359199,99222,85962,58008,29935,5987,174519
200,0,0,42950,23904,22738,19651,2795,12381,2067,47516
200,0,0,78274,33212,7101,14837,3764,8506,3142,49469
200,0,0,102887,20004,24119,9174,5868,18696,2416,41363
200,0,0,746284,95077,91775,57755,28604,51519,4005,192557
200,0,0,1106717,163574,104479,53265,32993,16231,9329,169088
200,0,0,1174416,97398,85059,31819,33148,28645,9960,190623
200,0,0,142179,410092,132046,9687,26838,78621,9683,181014
200,0,0,167562,281179,89766,20180,27962,50284,14977,184146
200,0,0,246934,122038,66155,56125,57724,54623,10552,192951
200,0,0,1801053,154744,62988,11537,43589,59386,7254,176553
200,0,0,274357,154217,41121,21880,28038,42880,5999,189419
200,0,0,107614,22379,4856,13003,6865,24165,2258,52652
200,0,0,2734615,224527,134896,28372,20840,38587,8213,203295
200,0,0,762032,180046,21412,32509,20967,35207,11313,199740
200,0,0,147425,21091,5993,14091,12853,21701,1789,48327
200,0,0,206069,9135,11199,37680,7021,9046,1823,49372
200,0,0,58921,62515,6065,5890,8660,10448,1528,47606
200,0,0,309696,45157,15587,19428,5488,15499,2506,50617
200,0,0,131614,39085,14723,2510,5258,15260,2330,51380
200,0,0,95044,43399,12063,16099,6822,5813,2104,43693
200,0,0,160812,31034,42424,7445,7522,17026,1627,47798
200,0,0,104749,32880,21485,12483,7904,9690,1653,47326
200,0,0,100658,16784,5784,10342,3177,15227,1826,42850
200,0,0,22905,73029,22543,16466,9752,11633,2193,38141
200,0,0,581653,677949,645132,25892,55410,161026,27718,584321
200,0,0,733954,230005,26519,42229,28731,31306,8149,146607
200,0,0,87705,86364,40262,3111,7255,14180,2675,33640
200,0,0,746033,194997,72330,49393,17709,59796,10734,147970
200,0,0,279031,267907,27630,40477,71452,20899,8168,138419
200,0,0,1100449,149033,34354,27218,35942,21132,16489,130693
200,0,0,143284,182776,43610,14317,25740,29716,6685,116080
200,0,0,654361,507671,136209,60596,46430,87480,137565,262906
200,0,0,1453244,818323,66847,162672,116614,38517,46603,89411
200,0,0,1261201,256597,100405,274862,42437,46721,18883,101443
200,0,0,112608,85666,5082,22008,23454,5076,7919,31035
200,0,0,1396322,161385,98892,83638,43453,27394,20658,72219
200,0,0,596848,387922,54883,94705,22183,32870,9472,72516
200,0,0,182515,85894,22874,18938,38221,10804,10414,39226
200,0,0,672029,321075,13976,60816,51138,24815,23587,104547
200,0,0,506336,47500,14826,13643,9505,15811,16232,38619
200,0,0,572872,202883,39347,25064,36075,110737,20510,133151
200,0,0,1137257,1176122,343274,287006,167235,110044,21183,494864
200,0,0,100896,48904,23384,7582,5407,8210,2203,39164
200,0,0,2056320,425210,243730,262599,55104,186792,49671,626010
200,0,0,193683,129633,6294,8106,12697,7017,6289,35752
200,0,0,223338,94551,8768,22970,30780,35249,27981,54947
200,0,0,2209250,789542,347074,220775,103290,105264,40583,573828
200,0,0,344204,173028,53035,104166,2359,34573,12500,157392
200,0,0,158543,22129,35086,5243,10141,10538,3051,32465
200,0,0,1218139,1123207,558976,55644,53982,88780,45452,600721
200,0,0,49205,53038,43084,23056,4296,9246,1920,39043
2200,0,0,273800,418542,107745,32024,29621,30088,7227,154819
200,0,0,299857,217684,11631,13873,48963,25588,12346,166635
200,0,0,805010,280828,203400,241757,65157,191928,30374,784313
200,0,0,196852,35516,20544,21046,9108,12142,2707,46839
200,0,0,52135,66478,12594,6465,13971,14805,1169,42549
200,0,0,229042,25293,16742,6717,3581,14664,2525,41653
200,0,0,1750924,295860,135418,21118,34156,76900,7824,190980
200,0,0,47591,72369,28694,11429,21749,13734,1097,42214
22200,0,0,79848,44766,48999,9080,7194,11045,1969,53944
200,0,0,136950,61398,10413,13790,26924,11621,1001,49034
200,0,0,349936,37463,17505,2279,2921,21012,3661,48302
200,0,0,63907,20873,46372,2151,5118,14540,1252,54824
200,0,0,384083,350698,46107,42471,40520,43055,11771,197716
200,0,0,328498,170148,51592,19849,24307,130232,13396,185816
200,0,0,410297,484794,685463,188718,90806,343894,40386,812474
200,0,0,364153,445313,58379,56418,25886,22794,5591,194603
200,0,0,273514,112266,116468,85822,28171,46753,5748,205067
200,0,0,150020,14789,21498,36015,6766,11078,1988,48103
200,0,0,320267,308940,167630,83254,42437,122215,6068,206259
200,0,0,46928,60143,37383,5841,11968,10781,1372,50809
200,0,0,31835,15670,2750,5223,2155,3203,414,12941
200,0,0,63132,49535,52270,8984,11822,18302,1747,55650
200,0,0,329866,40670,8564,2640,8100,8475,2865,46739
200,0,0,167098,11785,54168,3744,15987,9237,1186,50027
200,0,0,412982,615691,304488,132871,112883,324896,27228,794029
200,0,0,32230,48552,26916,4950,5414,8471,1038,44449
200,0,0,104912,69835,7686,12738,4074,16099,2072,48856
200,0,0,93954,22882,4346,31744,15723,29675,1270,57119
200,0,0,42295,63763,16661,15498,4514,29595,2372,48901
200,0,0,27724,39562,24739,12511,6157,13521,1035,54749
200,0,0,709180,315110,116475,49468,18055,96643,5899,245670
200,0,0,160852,42545,55861,7941,14726,20476,1623,60382
200,0,0,109128,157133,51398,6206,5391,12398,820,52793
200,0,0,72012,70241,31819,15427,8448,14628,1645,52428
200,0,0,303286,178020,100330,21551,20123,53529,7699,213588
200,0,0,85284,30898,15453,3564,14801,12246,2215,51188
200,0,0,9558,16390,37449,5503,13741,25054,2310,49851
200,0,0,158609,8208,20397,6191,6409,25466,3717,58850
200,0,0,197351,307254,133843,61112,25764,56204,4865,194569
200,0,0,1477969,636524,1124601,325644,98685,221686,36023,755700
200,0,0,503206,48645,170627,57191,47204,81183,6404,203346
200,0,0,255269,598361,699164,331279,81108,49882,83364,118002
200,0,0,511644,23528,19393,17152,14310,11778,18190,38702
200,0,0,224064,1151268,862244,405985,39943,283430,67086,821995
200,0,0,163805,245868,64669,29480,29516,25345,12281,40685
200,0,0,300836,203488,89985,43921,36996,51072,5590,155607
200,0,0,1488745,457301,159775,217952,112146,207197,59615,161149
200,0,0,1185031,281543,58678,67843,49548,132760,129561,106154
200,0,0,991083,281765,124536,77020,30158,65193,68649,27287
200,0,0,126368,568474,23952,130673,41514,67185,82436,105267
200,0,0,738848,1750057,311919,363930,103936,135377,174652,471335
200,0,0,134495,627564,161035,59177,61804,70565,102977,80490
200,0,0,651572,157527,81776,54497,25674,109343,46592,100424
200,0,0,1207885,1103956,550701,471952,330756,232365,179399,1428470
200,0,0,302577,538998,98740,57508,45969,111400,97188,134237
200,0,0,46403,65759,27859,32506,10363,15827,13078,46291
200,0,0,348235,997823,182380,341142,173954,597477,392830,1246608
200,0,0,823485,139936,50389,89996,122735,124387,87224,169511
200,0,0,481211,216789,37026,148933,145961,89429,208236,193777
200,0,0,61308,118744,17757,21909,30102,43601,55826,63437
200,0,0,527185,362881,89497,71404,92922,174779,64623,273718
200,0,0,179848,626932,46149,70590,143013,60580,28992,193821
200,0,0,557158,241678,162173,57714,121544,74852,28719,149333
200,0,0,603378,122428,25963,76502,63318,169916,74540,117916
200,0,0,236915,258236,135280,80101,76725,145241,129600,91562
200,0,0,577268,187950,259515,43011,42457,77703,70579,114516
200,0,0,1269666,774243,367765,48684,224675,372185,274164,399474
200,0,0,1743758,863814,85836,240989,108382,267621,408775,770963
200,0,0,77128,387642,81378,50790,125837,103267,106701,182162
200,0,0,394367,522928,75841,219444,32747,75806,42813,139421
200,0,0,484885,120048,130061,338613,63757,51347,72998,218555
200,0,0,247166,1024838,42083,27406,98606,178325,65113,186736
200,0,0,613829,127157,36904,41771,52643,55882,70506,142041
200,0,0,1073749,218071,272952,117779,99860,134176,146102,74419
200,0,0,683874,279767,166713,48808,40571,52750,106037,193058
