timestamp,signal_strength,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
2024-06-27 20:02:29.448,0,14,48,611061,64236,59064,22246,44771,15094,3056,751
2024-06-27 20:02:30.439,0,8,27,514772,66260,2681,1707,2687,4280,2320,1338
2024-06-27 20:02:31.432,0,23,21,16452,6265,205,2088,5903,3724,3020,1473
2024-06-27 20:02:32.426,0,43,37,1374,3581,450,1538,1475,7910,2532,1600
2024-06-27 20:02:33.421,0,60,30,3694,2120,753,1951,1169,4101,1806,1025
2024-06-27 20:02:34.414,0,77,53,5294,2964,2993,799,486,3521,1919,784
2024-06-27 20:02:35.410,0,77,66,1117,4633,396,6712,2088,5408,1586,553
2024-06-27 20:02:36.405,0,64,67,7628,4580,477,1380,3350,1904,1558,706
2024-06-27 20:02:37.399,0,61,57,4816,5092,183,1240,3819,3942,623,941
2024-06-27 20:02:38.402,0,50,60,215374,23267,12242,10529,3741,4114,1904,1114
2024-06-27 20:02:39.391,0,29,56,332767,14998,5398,1083,404,785,227,227
2024-06-27 20:02:40.388,0,27,64,16602,5254,1807,1801,1375,2158,2334,2109
2024-06-27 20:02:41.380,0,29,70,4133,2365,421,1325,902,3432,2946,486
2024-06-27 20:02:42.373,0,60,53,5087,321,348,479,961,5390,3689,1204
2024-06-27 20:02:43.375,0,77,44,40784,19098,2865,1546,1666,8254,3029,1259
2024-06-27 20:02:44.371,0,70,38,110643,64232,10020,6818,2133,7779,1980,549
2024-06-27 20:02:45.364,0,57,27,47385,27280,661,2660,2553,4131,1714,1244
2024-06-27 20:02:46.366,0,34,43,238952,64234,31176,29072,30514,21501,10813,6604
2024-06-27 20:02:47.351,0,43,48,3423,2080,886,1233,654,6275,1019,1002
2024-06-27 20:02:48.350,0,48,54,26473,15857,8312,2918,1191,5679,1410,1914
2024-06-27 20:02:49.354,0,41,57,1727714,568740,48816,34617,74005,42555,20609,8168
2024-06-27 20:02:50.338,0,35,53,92552,27494,5815,3691,1892,2137,396,878
2024-06-27 20:02:51.335,0,1,48,108107,107008,6551,9244,2610,2354,1761,713
2024-06-27 20:02:52.329,0,8,30,349858,14263,994,1236,1601,8108,1950,1650
2024-06-27 20:02:53.319,0,24,35,4175,3086,486,540,674,2971,2679,569
2024-06-27 20:02:54.317,0,50,34,2720,1548,838,2164,2650,6470,1111,1880
2024-06-27 20:02:55.312,0,53,29,72016,28783,915,2229,845,1139,355,455
2024-06-27 20:02:56.317,0,44,34,621298,115458,12042,11411,29013,23813,8319,3656
2024-06-27 20:02:57.305,0,37,38,16340,12459,2752,1368,1073,3797,1401,345
2024-06-27 20:02:58.294,0,34,43,2195,946,800,889,368,2249,2851,1799
2024-06-27 20:02:59.294,0,43,44,59269,20585,828,2722,6753,3212,1724,833
2024-06-27 20:03:00.288,0,54,57,4867,1350,1374,1946,1140,3742,2714,931
2024-06-27 20:03:01.280,0,56,60,126562,1691,197,746,685,668,401,313
2024-06-27 20:03:02.278,0,56,61,1678,816,1499,2103,2304,3773,1627,1226
2024-06-27 20:03:03.276,0,57,63,193990,18061,1086,2273,3778,3339,1583,575
2024-06-27 20:03:04.271,0,30,50,179948,91297,6237,6284,3940,2208,1248,982
2024-06-27 20:03:05.262,0,38,57,10853,1310,408,2780,371,2597,2557,482
2024-06-27 20:03:06.258,0,21,48,66882,11317,1222,1267,474,1263,172,232
2024-06-27 20:03:07.253,0,26,57,105652,2009,483,1417,1043,1467,371,301
2024-06-27 20:03:08.249,0,44,67,14071,7198,782,4072,4883,2678,1362,850
2024-06-27 20:03:09.248,0,30,61,26883,26304,11617,2259,2790,4172,4627,1227
2024-06-27 20:03:10.242,0,26,70,927612,38645,17556,8588,7687,2928,1254,508
2024-06-27 20:03:11.236,0,20,64,26859,19975,2774,4074,5370,4535,1512,848
2024-06-27 20:03:12.233,0,17,64,223623,25112,9904,1580,5647,6354,2572,1635
2024-06-27 20:03:13.225,0,27,69,3812,4262,7491,3357,3784,6974,4104,1390
2024-06-27 20:03:14.217,0,56,57,178,2149,385,907,1464,5730,1710,1551
2024-06-27 20:03:15.215,0,44,57,94485,52849,4746,8063,1085,2801,758,232
2024-06-27 20:03:16.213,0,30,64,974293,40105,26271,4010,3333,2184,3068,885
2024-06-27 20:03:17.200,0,17,54,65847,5111,933,395,431,429,134,238
2024-06-27 20:03:18.197,0,10,61,8925,2877,1548,915,2070,2900,984,316
2024-06-27 20:03:19.197,0,17,50,248754,16570,374,1072,2007,2506,1469,1761
2024-06-27 20:03:20.189,0,43,44,4881,1327,1996,505,1360,3012,1202,1502
2024-06-27 20:03:21.187,0,43,37,64559,54335,3335,3285,3817,3956,848,1014
2024-06-27 20:03:22.190,0,26,29,1314223,306261,29997,24251,24614,24538,9046,3845
2024-06-27 20:03:23.173,0,30,50,141657,1373,128,1009,410,699,621,492
2024-06-27 20:03:24.168,0,29,51,3087,1767,1222,1472,956,2500,784,634
2024-06-27 20:03:25.163,0,53,56,2052,1763,943,797,1360,6546,1742,720
2024-06-27 20:03:26.159,0,74,61,1969,1924,1527,366,2323,2974,1317,405
2024-06-27 20:03:27.154,0,57,67,56183,6854,7491,1455,2068,689,327,216
2024-06-27 20:03:28.157,0,44,69,819782,62479,29791,17233,11193,8629,6721,2225
2024-06-27 20:03:29.151,0,14,63,332983,134527,5869,7016,7946,4982,1505,1079
2024-06-27 20:03:30.140,0,20,61,1477,1606,2356,503,3332,7543,1247,1549
2024-06-27 20:03:31.140,0,29,41,156251,26396,2010,2581,3959,4143,2803,1806
2024-06-27 20:03:32.130,0,37,47,5355,3836,4209,3760,2372,2438,2363,919
2024-06-27 20:03:33.130,0,44,57,206584,19530,1606,5095,3702,2536,1522,1355
2024-06-27 20:03:34.119,0,43,57,1880,1537,1650,129,1772,4359,1740,927
2024-06-27 20:03:35.119,0,40,74,46029,23362,14600,4041,4874,3878,1317,637
2024-06-27 20:03:36.110,0,51,64,3873,857,1133,1093,2071,3056,1206,1205
2024-06-27 20:03:37.104,0,67,60,928,4346,731,1052,1353,5260,1054,1082
2024-06-27 20:03:38.105,0,50,75,143895,10106,9636,5429,1249,3039,1290,3019
2024-06-27 20:03:39.097,0,64,54,81739,8454,418,1167,1533,6714,1099,2444
2024-06-27 20:03:40.093,0,50,54,17157,13205,3316,3086,1934,2372,1555,614
2024-06-27 20:03:41.085,0,44,47,4123,2869,144,333,1656,1867,3208,1668
2024-06-27 20:03:42.079,0,34,29,78461,28153,4611,783,766,841,497,281
2024-06-27 20:03:43.079,0,26,30,88798,15430,1522,1217,5646,4602,1930,2006
2024-06-27 20:03:44.070,0,34,35,1020,2054,1331,923,784,1533,1393,1515
2024-06-27 20:03:45.064,0,41,50,298,892,1491,1305,1159,5790,2156,285
