timestamp,signal_strength,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
2024-06-27 15:39:03.785,200,0,0,248755,121652,52044,31114,3691,54484,2232,200430
2024-06-27 15:39:04.151,200,0,0,65928,199605,1829,94375,375,50073,1225,193842
2024-06-27 15:39:05.153,200,0,0,981094,1633958,5149,575481,11423,187597,1806,823662
2024-06-27 15:39:06.148,200,0,0,1031046,249150,11421,289930,5816,199537,5632,803911
2024-06-27 15:39:07.142,200,0,0,235701,564240,11423,496886,6492,234231,2008,839881
2024-06-27 15:39:08.133,200,0,0,99087,205532,2118,104430,3400,49052,800,221224
2024-06-27 15:39:09.132,200,0,0,608630,627647,44036,390974,4920,205965,4240,910665
2024-06-27 15:39:10.119,200,0,0,43661,63312,1544,22790,430,15221,220,52684
2024-06-27 15:39:11.118,200,0,0,91661,222748,3143,80920,3042,44789,1166,214399
2024-06-27 15:39:12.118,200,0,0,390754,552669,38508,390301,6352,189209,4427,905661
2024-06-27 15:39:13.117,200,0,0,1283371,1727020,251269,456838,14715,215938,11906,986000
2024-06-27 15:39:14.110,200,0,0,1426353,984429,113491,751164,37117,157986,8423,1058123
2024-06-27 15:39:15.105,200,0,0,797830,863424,39628,456222,4152,322127,10588,1228890
2024-06-27 15:39:16.101,200,0,0,1249252,1047535,31540,842061,20826,244032,4055,1281711
2024-06-27 15:39:17.095,200,0,0,2309517,594773,38422,623184,21616,217140,10730,1163662
2024-06-27 15:39:18.090,200,0,0,654905,2214816,9687,551984,18949,263827,7719,1179206
2024-06-27 15:39:19.085,200,0,0,1541449,556887,52938,457120,29165,191826,4211,911169
2024-06-27 15:39:20.082,200,0,0,642600,674345,197378,129721,42786,256391,11645,949476
2024-06-27 15:39:21.071,200,0,0,196856,228946,8858,94857,7796,76624,1273,269946
2024-06-27 15:39:22.062,200,0,0,30979,24164,23961,5529,8674,16005,9410,27872
2024-06-27 15:39:23.066,200,0,0,1153739,1516339,74372,544456,32131,282932,44387,965166
2024-06-27 15:39:24.061,200,0,0,1237940,427614,124647,376859,61068,168601,36519,975937
2024-06-27 15:39:25.056,200,0,0,681882,1089993,75547,768766,18811,256909,11593,1194384
2024-06-27 15:39:26.053,200,0,0,538955,1002021,30104,488081,7582,303398,19212,1227297
2024-06-27 15:39:27.047,200,0,0,1056325,556676,72185,752971,32177,242094,4100,1232993
2024-06-27 15:39:28.043,200,0,0,974010,666938,67383,390605,58309,187900,48466,1196732
2024-06-27 15:39:29.034,200,0,0,134643,281686,20880,151705,3040,63968,4358,227690
2024-06-27 15:39:30.033,200,0,0,1267182,766305,14203,835552,25226,241834,5101,1124170
2024-06-27 15:39:31.023,200,0,0,111521,280431,7143,180861,3606,63940,3708,284879
2024-06-27 15:39:32.018,200,0,0,46005,318328,11870,101994,4475,72652,1738,271871
2024-06-27 15:39:33.013,200,0,0,469140,168801,8647,127826,4060,51120,2113,245404
2024-06-27 15:39:34.012,200,0,0,1020566,553243,15805,579047,15838,195246,12091,1116948
2024-06-27 15:39:35.008,200,0,0,923172,568703,169674,133417,30250,273919,5039,1026121
2024-06-27 15:39:35.997,200,0,0,73546,457584,16534,73256,6856,84864,2236,212741
2024-06-27 15:39:36.994,200,0,0,236603,225309,37816,95754,8756,50396,2621,257534
2024-06-27 15:39:37.992,200,0,0,1056887,979829,1531,526089,15590,230366,4521,1051852
2024-06-27 15:39:38.984,200,0,0,160214,192512,7224,121714,5540,59392,2111,267271
2024-06-27 15:39:39.976,200,0,0,93027,92522,4325,103173,3387,69839,1979,253473
2024-06-27 15:39:40.979,200,0,0,1396926,457310,10552,485421,18667,239720,5489,1043817
2024-06-27 15:39:41.972,200,0,0,306592,705828,11971,394461,9598,293682,8995,1055369
2024-06-27 15:39:42.962,200,0,0,98341,170689,7422,78465,1104,55449,2052,247629
2024-06-27 15:39:43.963,200,0,0,1133871,889714,40451,515650,12149,187553,3048,969330
2024-06-27 15:39:44.957,200,0,0,327558,856584,13542,252550,7996,199337,13935,927897
2024-06-27 15:39:45.954,200,0,0,461184,1543482,37431,206239,48989,317656,8709,803208
2024-06-27 15:39:46.950,200,0,0,1163687,405793,101834,105614,11456,127518,2012,745506
2024-06-27 15:39:47.943,200,0,0,212010,446585,88252,174904,20237,189429,6338,773405
2024-06-27 15:39:48.937,200,0,0,513482,679135,30150,279529,9584,210921,3213,751813
2024-06-27 15:39:49.933,200,0,0,833823,367573,279747,53557,17661,159913,2889,833660
2024-06-27 15:39:50.930,200,0,0,775268,637388,102066,130148,29105,208596,5549,837214
2024-06-27 15:39:51.924,200,0,0,222672,349143,42072,223032,41722,116645,10389,822125
2024-06-27 15:39:52.920,200,0,0,967940,1253176,22009,632647,16127,232061,6407,995984
2024-06-27 15:39:53.916,200,0,0,1219604,404031,38331,292322,11055,200391,17486,974748
2024-06-27 15:39:54.911,200,0,0,1385050,747885,78851,593134,22255,219413,7661,1101868
2024-06-27 15:39:55.905,200,0,0,913581,1269782,27054,1105325,21741,233953,4269,1145309
2024-06-27 15:39:56.905,200,0,0,1593558,1143414,130509,487163,14090,228641,12713,1181804
2024-06-27 15:39:57.896,200,0,0,706129,1038006,24083,427756,2595,312042,15930,1187438
2024-06-27 15:39:58.891,200,0,0,1786022,702664,22757,907197,6579,269239,9718,1228448
2024-06-27 15:39:59.884,200,0,0,419675,270226,23554,192041,10379,60769,11054,252502
2024-06-27 15:40:00.878,200,0,0,218157,239698,11918,188557,3828,67127,2559,299471
2024-06-27 15:40:01.870,200,0,0,167286,240517,5676,132308,4367,69900,814,282984
2024-06-27 15:40:02.867,200,0,0,274733,183918,25734,95595,7864,56458,4685,261209
2024-06-27 15:40:03.869,200,0,0,555804,2471630,105186,501915,15787,335223,16186,1017967
2024-06-27 15:40:04.861,200,0,0,1764463,1390091,6908,486305,22937,153868,10032,1002713
2024-06-27 15:40:05.853,200,0,0,71603,430437,24707,182698,6310,70388,12567,254069
2024-06-27 15:40:06.848,200,0,0,821185,429617,36069,32335,58261,51016,38160,98818
2024-06-27 15:40:07.849,200,0,0,1686233,1264187,90160,621546,12139,173689,14585,1040492
2024-06-27 15:40:08.844,200,0,0,1109022,1352601,130718,603260,5459,260789,12269,1027855
2024-06-27 15:40:09.834,200,0,0,366039,359759,52555,65677,10210,45022,9043,239145
2024-06-27 15:40:10.832,200,0,0,568539,881387,140826,559007,128531,200314,60518,938757
2024-06-27 15:40:11.827,200,0,0,1170825,701873,66723,183537,10580,255349,23594,1118279
2024-06-27 15:40:12.825,200,0,0,971349,1134177,163704,312113,42876,180638,48639,1177095
2024-06-27 15:40:13.820,200,0,0,881133,1002579,150391,535630,28643,304068,10246,1142907
2024-06-27 15:40:14.813,200,0,0,379848,1014124,24890,334236,3041,427589,22421,1154231
2024-06-27 15:40:15.808,200,0,0,1391863,401777,50290,683266,19704,260161,7909,1170884
2024-06-27 15:40:16.803,200,0,0,766510,907447,89872,366017,18566,241617,35356,911460
2024-06-27 15:40:17.798,200,0,0,429476,944795,35265,497508,2725,302762,16854,1191605
2024-06-27 15:40:18.793,200,0,0,1489637,678667,24957,529522,20964,273556,7373,1174307
2024-06-27 15:40:19.788,200,0,0,427450,1228225,59192,691395,18748,250508,14360,1076587
2024-06-27 15:40:20.779,200,0,0,63040,433159,16057,127819,2884,81380,2124,270901
2024-06-27 15:40:21.774,200,0,0,282785,570969,4715,114083,3915,48544,1980,223841
2024-06-27 15:40:22.771,200,0,0,62444,1564031,782,336670,3313,313957,14051,1030828
2024-06-27 15:40:23.767,200,0,0,823041,331089,73212,149552,4518,268310,13263,914457
2024-06-27 15:40:24.765,200,0,0,1789398,439713,39052,261274,22973,267393,11179,897252
2024-06-27 15:40:25.759,200,0,0,1495223,725280,60665,336363,17217,207702,4765,922699
2024-06-27 15:40:26.754,200,0,0,104970,1285640,13548,226509,3472,383673,27237,983150
2024-06-27 15:40:27.747,200,0,0,577676,302603,54052,28109,16917,32109,14933,188790
2024-06-27 15:40:28.740,200,0,0,836971,116372,71794,91924,9575,49947,17799,96925
2024-06-27 15:40:29.740,200,0,0,346313,769055,115593,289511,42727,255521,20197,926318
2024-06-27 15:40:30.734,200,0,0,1113775,1326113,48516,269723,25470,218657,16457,898388
2024-06-27 15:40:31.730,200,0,0,2610090,1304857,41307,464195,17795,155883,11952,853875
2024-06-27 15:40:32.717,200,0,0,86653,445626,5806,55728,583,52963,2246,214953
2024-06-27 15:40:33.713,200,0,0,135832,949772,787,49465,1582,71153,2046,192305
2024-06-27 15:40:34.709,200,0,0,159151,972428,1421,76999,893,58109,1215,195842
2024-06-27 15:40:35.703,200,0,0,83244,819995,2703,89531,2269,45066,2111,194995
2024-06-27 15:40:36.697,200,0,0,78848,791213,1091,67654,683,62859,4258,183529
2024-06-27 15:40:37.693,200,0,0,88373,777217,922,55382,1221,60316,1303,184901
2024-06-27 15:40:38.694,200,0,0,365747,733637,33566,260282,9620,237298,13902,727054
2024-06-27 15:40:39.690,200,0,0,269548,303669,43984,184347,8836,194783,22622,691628
2024-06-27 15:40:40.678,200,0,0,208587,195776,2111,3583,10304,3684,1909,28583
2024-06-27 15:40:41.681,200,0,0,1700287,1081026,82927,240443,33882,93020,8910,652528
2024-06-27 15:40:42.664,200,0,0,10374,33012,3672,6189,762,7590,1589,38801
2024-06-27 15:40:43.670,200,0,0,758854,895866,32307,146550,7451,198632,10979,561408
2024-06-27 15:40:44.660,200,0,0,65601,710706,1152,53510,3051,39583,1395,149397
2024-06-27 15:40:45.665,200,0,0,2888209,3597232,47338,288895,29302,1250627,48477,2211728
2024-06-27 15:40:46.650,200,0,0,101601,45539,8186,30975,2592,23995,6133,126287
2024-06-27 15:40:47.650,200,0,0,359616,866125,105537,74492,4821,205325,12113,504986
2024-06-27 15:40:48.644,200,0,0,420475,1134874,51191,96984,3888,239548,5099,501648
2024-06-27 15:40:49.646,200,0,0,1698433,1037422,693274,297000,164418,424342,24848,2079591
2024-06-27 15:40:50.634,200,0,0,52514,2084179,15007,101244,4401,119256,5847,305972
2024-06-27 15:40:51.632,200,0,0,104204,859038,75571,151146,10005,93235,3282,432959
2024-06-27 15:40:52.619,200,0,0,40266,309694,5951,79972,1996,26965,976,115137
2024-06-27 15:40:53.615,200,0,0,50819,168799,8164,12663,9482,21916,1415,95549
2024-06-27 15:40:54.621,200,0,0,1182906,1820188,98156,467703,237061,733564,63483,2058813
2024-06-27 15:40:55.609,200,0,0,731999,134250,113020,44229,6082,48034,2797,294965
2024-06-27 15:40:56.599,200,0,0,167023,83817,6614,23790,2731,19578,507,63563
2024-06-27 15:40:57.596,200,0,0,26259,178180,7218,14885,3888,26482,1297,101130
2024-06-27 15:40:58.592,200,0,0,126466,33998,7600,13771,2499,55421,4818,108122
2024-06-27 15:40:59.591,200,0,0,248319,989037,37862,35974,13792,129719,4219,405623
2024-06-27 15:41:00.588,200,0,0,818844,342687,102240,97827,12897,101680,17809,422875
2024-06-27 15:41:01.580,200,0,0,982657,799505,35780,94501,9582,211384,5746,431694
2024-06-27 15:41:02.570,200,0,0,116370,28223,5985,8182,2150,58271,3852,102467
2024-06-27 15:41:03.577,200,0,0,2362968,2266350,83578,537368,287742,782421,16985,2067038
2024-06-27 15:41:04.566,200,0,0,739631,217176,162843,18986,7693,65254,17871,191929
2024-06-27 15:41:05.561,200,0,0,513160,1046922,58532,104092,4856,81949,3496,380850
2024-06-27 15:41:06.558,200,0,0,1315851,369355,13351,120908,5598,106121,9233,336358
2024-06-27 15:41:07.554,200,0,0,1222842,613980,116792,100961,15161,53403,3075,373120
2024-06-27 15:41:08.548,200,0,0,1014000,274515,162450,68612,6060,104136,5605,371938
2024-06-27 15:41:09.543,200,0,0,1029381,795339,46497,84494,19567,128443,6136,370311
2024-06-27 15:41:10.537,200,0,0,190637,1073696,17762,65744,5701,213784,7964,365773
2024-06-27 15:41:11.533,200,0,0,1959797,546993,24067,64951,8156,108318,11177,378211
2024-06-27 15:41:12.528,200,0,0,144953,861763,38231,68692,20062,252778,11697,438874
2024-06-27 15:41:13.525,200,0,0,302314,1837656,537976,83868,14642,397744,34555,1812076
2024-06-27 15:41:14.519,200,0,0,1525382,524992,73123,52176,29969,113341,32362,336071
2024-06-27 15:41:15.508,200,0,0,114495,81387,13218,16095,1618,37573,1823,76913
